"social_network","usage","value","max","share"
"Чернівці","Рішення регуляторних актів міськради",0,1,0
"Херсон","Рішення регуляторних актів міськради",1,1,100
"Лиман","Рішення регуляторних актів міськради",1,1,100
"Лозова","Рішення регуляторних актів міськради",1,1,100
"Каховка","Рішення регуляторних актів міськради",0.5,1,50
"Мукачево","Рішення регуляторних актів міськради",1,1,100
"Кременчук","Рішення регуляторних актів міськради",0,1,0
"Южноукраїнськ","Рішення регуляторних актів міськради",1,1,100
"Покров","Рішення регуляторних актів міськради",0,1,0
"Рубіжне","Рішення регуляторних актів міськради",0,1,0
"Фастів","Рішення регуляторних актів міськради",1,1,100
"Сміла","Рішення регуляторних актів міськради",1,1,100
"Світловодськ","Рішення регуляторних актів міськради",1,1,100
"Нетішин","Рішення регуляторних актів міськради",1,1,100
"Подільськ","Рішення регуляторних актів міськради",1,1,100
"Горішні Плавні","Рішення регуляторних актів міськради",0,1,0
"Ірпінь","Рішення регуляторних актів міськради",0.5,1,50
"Червоноград","Рішення регуляторних актів міськради",0,1,0
"Чорноморськ","Рішення регуляторних актів міськради",1,1,100
"Харків","Рішення регуляторних актів міськради",0,1,0
"Бердичів","Рішення регуляторних актів міськради",0,1,0
"Славута","Рішення регуляторних актів міськради",1,1,100
"Старокостянтинів","Рішення регуляторних актів міськради",0,1,0
"Боярка","Рішення регуляторних актів міськради",0.5,1,50
"Костянтинівка","Рішення регуляторних актів міськради",0.5,1,50
"Жовті Води","Рішення регуляторних актів міськради",0,1,0
"Ізюм","Рішення регуляторних актів міськради",1,1,100
"Мирноград","Рішення регуляторних актів міськради",0,1,0
"Самбір","Рішення регуляторних актів міськради",0,1,0
"Новоград-Волинський","Рішення регуляторних актів міськради",0,1,0
"Конотоп","Рішення регуляторних актів міськради",0,1,0
"Павлоград","Рішення регуляторних актів міськради",0,1,0
"Шостка","Рішення регуляторних актів міськради",1,1,100
"Васильків","Рішення регуляторних актів міськради",0,1,0
"Вараш","Рішення регуляторних актів міськради",0,1,0
"Марганець","Рішення регуляторних актів міськради",0,1,0
"Полтава","Рішення регуляторних актів міськради",0,1,0
"Куп'янськ","Рішення регуляторних актів міськради",0,1,0
"Нова Каховка","Рішення регуляторних актів міськради",0,1,0
"Нововолинськ","Рішення регуляторних актів міськради",0,1,0
"Стрий","Рішення регуляторних актів міськради",0,1,0
"Вишневе","Рішення регуляторних актів міськради",0.5,1,50
"Кривий Ріг","Рішення регуляторних актів міськради",0,1,0
"Черкаси","Рішення регуляторних актів міськради",0,1,0
"Прилуки","Рішення регуляторних актів міськради",0,1,0
"Умань","Рішення регуляторних актів міськради",0,1,0
"Покровськ","Рішення регуляторних актів міськради",0,1,0
"Дунаївці","Рішення регуляторних актів міськради",0,1,0
"Новомосковськ","Рішення регуляторних актів міськради",0,1,0
"Івано-Франківськ","Рішення регуляторних актів виконкому",1,1,100
"Київ","Рішення регуляторних актів виконкому",1,1,100
"Вінниця","Рішення регуляторних актів виконкому",0,1,0
"Львів","Рішення регуляторних актів виконкому",1,1,100
"Біла Церква","Рішення регуляторних актів виконкому",1,1,100
"Одеса","Рішення регуляторних актів виконкому",1,1,100
"Дружківка","Рішення регуляторних актів виконкому",1,1,100
"Бердянськ","Рішення регуляторних актів виконкому",1,1,100
"Серєродонецьк","Рішення регуляторних актів виконкому",1,1,100
"Суми","Рішення регуляторних актів виконкому",1,1,100
"Володимир Волинський","Рішення регуляторних актів виконкому",1,1,100
"Рівне","Рішення регуляторних актів виконкому",1,1,100
"Ізмаїл","Рішення регуляторних актів виконкому",1,1,100
"Запоріжжя","Рішення регуляторних актів виконкому",0.5,1,50
"Кам'янське","Рішення регуляторних актів виконкому",1,1,100
"Дрогобич","Рішення регуляторних актів виконкому",1,1,100
"Коростень","Рішення регуляторних актів виконкому",0,1,0
"Тернопіль","Рішення регуляторних актів виконкому",1,1,100
"Краматорськ","Рішення регуляторних актів виконкому",0,1,0
"Коломия","Рішення регуляторних актів виконкому",1,1,100
"Житомир","Рішення регуляторних актів виконкому",0.5,1,50
"Калуш","Рішення регуляторних актів виконкому",0,1,0
"Луцьк","Рішення регуляторних актів виконкому",1,1,100
"Нікополь","Рішення регуляторних актів виконкому",1,1,100
"Ужгород","Рішення регуляторних актів виконкому",1,1,100
"Бахмут","Рішення регуляторних актів виконкому",0,1,0
"Дніпро","Рішення регуляторних актів виконкому",1,1,100
"Енергодар","Рішення регуляторних актів виконкому",0,1,0
"Кропивницький","Рішення регуляторних актів виконкому",1,1,100
"Чернігів","Рішення регуляторних актів виконкому",0,1,0
"Ромни","Рішення регуляторних актів виконкому",1,1,100
"Бориспіль","Рішення регуляторних актів виконкому",1,1,100
"Миргород","Рішення регуляторних актів виконкому",1,1,100
"Маріуполь","Рішення регуляторних актів виконкому",1,1,100
"Первомайськ","Рішення регуляторних актів виконкому",1,1,100
"Кам'янець-Подільський","Рішення регуляторних актів виконкому",1,1,100
"Ковель","Рішення регуляторних актів виконкому",0,1,0
"Олександрія","Рішення регуляторних актів виконкому",0,1,0
"Ніжин","Рішення регуляторних актів виконкому",1,1,100
"Лубни","Рішення регуляторних актів виконкому",1,1,100
"Охтирка","Рішення регуляторних актів виконкому",1,1,100
"Хмельницький","Рішення регуляторних актів виконкому",0,1,0
"Бровари","Рішення регуляторних актів виконкому",1,1,100
"Жмеринка","Рішення регуляторних актів виконкому",0,1,0
"Миколаїв","Рішення регуляторних актів виконкому",0.5,1,50
"Лисичанськ","Рішення регуляторних актів виконкому",1,1,100
"Слов'янськ","Рішення регуляторних актів виконкому",1,1,100
"Білгород Дністровський","Рішення регуляторних актів виконкому",0.5,1,50
"Дубно","Рішення регуляторних актів виконкому",1,1,100
"Мелітополь","Рішення регуляторних актів виконкому",1,1,100
"Шепетівка","Рішення регуляторних актів виконкому",0,1,0
"Чернівці","Рішення регуляторних актів виконкому",0,1,0
"Херсон","Рішення регуляторних актів виконкому",1,1,100
"Лиман","Рішення регуляторних актів виконкому",1,1,100
"Лозова","Рішення регуляторних актів виконкому",1,1,100
"Каховка","Рішення регуляторних актів виконкому",0.5,1,50
"Мукачево","Рішення регуляторних актів виконкому",1,1,100
"Кременчук","Рішення регуляторних актів виконкому",0,1,0
"Южноукраїнськ","Рішення регуляторних актів виконкому",1,1,100
"Покров","Рішення регуляторних актів виконкому",0,1,0
"Рубіжне","Рішення регуляторних актів виконкому",0,1,0
"Фастів","Рішення регуляторних актів виконкому",1,1,100
"Сміла","Рішення регуляторних актів виконкому",1,1,100
"Світловодськ","Рішення регуляторних актів виконкому",1,1,100
"Нетішин","Рішення регуляторних актів виконкому",1,1,100
"Подільськ","Рішення регуляторних актів виконкому",1,1,100
"Горішні Плавні","Рішення регуляторних актів виконкому",0,1,0
"Ірпінь","Рішення регуляторних актів виконкому",1,1,100
"Червоноград","Рішення регуляторних актів виконкому",0,1,0
"Чорноморськ","Рішення регуляторних актів виконкому",1,1,100
"Харків","Рішення регуляторних актів виконкому",0,1,0
"Бердичів","Рішення регуляторних актів виконкому",0,1,0
"Славута","Рішення регуляторних актів виконкому",1,1,100
"Старокостянтинів","Рішення регуляторних актів виконкому",1,1,100
"Боярка","Рішення регуляторних актів виконкому",0.5,1,50
"Костянтинівка","Рішення регуляторних актів виконкому",0.5,1,50
"Жовті Води","Рішення регуляторних актів виконкому",0,1,0
"Ізюм","Рішення регуляторних актів виконкому",1,1,100
"Мирноград","Рішення регуляторних актів виконкому",0,1,0
"Самбір","Рішення регуляторних актів виконкому",0,1,0
"Новоград-Волинський","Рішення регуляторних актів виконкому",0,1,0
"Конотоп","Рішення регуляторних актів виконкому",0,1,0
"Павлоград","Рішення регуляторних актів виконкому",0,1,0
"Шостка","Рішення регуляторних актів виконкому",1,1,100
"Васильків","Рішення регуляторних актів виконкому",0,1,0
"Вараш","Рішення регуляторних актів виконкому",0,1,0
"Марганець","Рішення регуляторних актів виконкому",0,1,0
"Полтава","Рішення регуляторних актів виконкому",0,1,0
"Куп'янськ","Рішення регуляторних актів виконкому",0,1,0
"Нова Каховка","Рішення регуляторних актів виконкому",0,1,0
"Нововолинськ","Рішення регуляторних актів виконкому",0,1,0
"Стрий","Рішення регуляторних актів виконкому",0,1,0
"Вишневе","Рішення регуляторних актів виконкому",0,1,0
"Кривий Ріг","Рішення регуляторних актів виконкому",0,1,0
"Черкаси","Рішення регуляторних актів виконкому",0,1,0
"Прилуки","Рішення регуляторних актів виконкому",0,1,0
"Умань","Рішення регуляторних актів виконкому",0,1,0
"Покровськ","Рішення регуляторних актів виконкому",0,1,0
"Дунаївці","Рішення регуляторних актів виконкому",0,1,0
"Новомосковськ","Рішення регуляторних актів виконкому",0,1,0
"Івано-Франківськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Київ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Вінниця","Діючі регуляторні акти на сайті ОМС",1,1,100
"Львів","Діючі регуляторні акти на сайті ОМС",0,1,0
"Біла Церква","Діючі регуляторні акти на сайті ОМС",1,1,100
"Одеса","Діючі регуляторні акти на сайті ОМС",1,1,100
"Дружківка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Бердянськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Серєродонецьк","Діючі регуляторні акти на сайті ОМС",1,1,100
"Суми","Діючі регуляторні акти на сайті ОМС",1,1,100
"Володимир Волинський","Діючі регуляторні акти на сайті ОМС",1,1,100
"Рівне","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ізмаїл","Діючі регуляторні акти на сайті ОМС",1,1,100
"Запоріжжя","Діючі регуляторні акти на сайті ОМС",1,1,100
"Кам'янське","Діючі регуляторні акти на сайті ОМС",1,1,100
"Дрогобич","Діючі регуляторні акти на сайті ОМС",0,1,0
"Коростень","Діючі регуляторні акти на сайті ОМС",1,1,100
"Тернопіль","Діючі регуляторні акти на сайті ОМС",0,1,0
"Краматорськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Коломия","Діючі регуляторні акти на сайті ОМС",1,1,100
"Житомир","Діючі регуляторні акти на сайті ОМС",1,1,100
"Калуш","Діючі регуляторні акти на сайті ОМС",1,1,100
"Луцьк","Діючі регуляторні акти на сайті ОМС",1,1,100
"Нікополь","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ужгород","Діючі регуляторні акти на сайті ОМС",0,1,0
"Бахмут","Діючі регуляторні акти на сайті ОМС",1,1,100
"Дніпро","Діючі регуляторні акти на сайті ОМС",1,1,100
"Енергодар","Діючі регуляторні акти на сайті ОМС",1,1,100
"Кропивницький","Діючі регуляторні акти на сайті ОМС",1,1,100
"Чернігів","Діючі регуляторні акти на сайті ОМС",0,1,0
"Ромни","Діючі регуляторні акти на сайті ОМС",1,1,100
"Бориспіль","Діючі регуляторні акти на сайті ОМС",1,1,100
"Миргород","Діючі регуляторні акти на сайті ОМС",1,1,100
"Маріуполь","Діючі регуляторні акти на сайті ОМС",0,1,0
"Первомайськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Кам'янець-Подільський","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ковель","Діючі регуляторні акти на сайті ОМС",1,1,100
"Олександрія","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ніжин","Діючі регуляторні акти на сайті ОМС",0,1,0
"Лубни","Діючі регуляторні акти на сайті ОМС",1,1,100
"Охтирка","Діючі регуляторні акти на сайті ОМС",0,1,0
"Хмельницький","Діючі регуляторні акти на сайті ОМС",0,1,0
"Бровари","Діючі регуляторні акти на сайті ОМС",1,1,100
"Жмеринка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Миколаїв","Діючі регуляторні акти на сайті ОМС",1,1,100
"Лисичанськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Слов'янськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Білгород Дністровський","Діючі регуляторні акти на сайті ОМС",1,1,100
"Дубно","Діючі регуляторні акти на сайті ОМС",0,1,0
"Мелітополь","Діючі регуляторні акти на сайті ОМС",0,1,0
"Шепетівка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Чернівці","Діючі регуляторні акти на сайті ОМС",1,1,100
"Херсон","Діючі регуляторні акти на сайті ОМС",0,1,0
"Лиман","Діючі регуляторні акти на сайті ОМС",1,1,100
"Лозова","Діючі регуляторні акти на сайті ОМС",1,1,100
"Каховка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Мукачево","Діючі регуляторні акти на сайті ОМС",1,1,100
"Кременчук","Діючі регуляторні акти на сайті ОМС",1,1,100
"Южноукраїнськ","Діючі регуляторні акти на сайті ОМС",0,1,0
"Покров","Діючі регуляторні акти на сайті ОМС",1,1,100
"Рубіжне","Діючі регуляторні акти на сайті ОМС",1,1,100
"Фастів","Діючі регуляторні акти на сайті ОМС",1,1,100
"Сміла","Діючі регуляторні акти на сайті ОМС",1,1,100
"Світловодськ","Діючі регуляторні акти на сайті ОМС",0,1,0
"Нетішин","Діючі регуляторні акти на сайті ОМС",0,1,0
"Подільськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Горішні Плавні","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ірпінь","Діючі регуляторні акти на сайті ОМС",1,1,100
"Червоноград","Діючі регуляторні акти на сайті ОМС",0,1,0
"Чорноморськ","Діючі регуляторні акти на сайті ОМС",1,1,100
"Харків","Діючі регуляторні акти на сайті ОМС",0,1,0
"Бердичів","Діючі регуляторні акти на сайті ОМС",1,1,100
"Славута","Діючі регуляторні акти на сайті ОМС",0,1,0
"Старокостянтинів","Діючі регуляторні акти на сайті ОМС",1,1,100
"Боярка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Костянтинівка","Діючі регуляторні акти на сайті ОМС",1,1,100
"Жовті Води","Діючі регуляторні акти на сайті ОМС",1,1,100
"Ізюм","Діючі регуляторні акти на сайті ОМС",0,1,0
"Мирноград","Діючі регуляторні акти на сайті ОМС",0,1,0
"Самбір","Діючі регуляторні акти на сайті ОМС",0,1,0
"Новоград-Волинський","Діючі регуляторні акти на сайті ОМС",0,1,0
"Конотоп","Діючі регуляторні акти на сайті ОМС",1,1,100
"Павлоград","Діючі регуляторні акти на сайті ОМС",0,1,0
"Шостка","Діючі регуляторні акти на сайті ОМС",0,1,0
