"city","usage","value","max","share","lat","lon","district"
"Охтирка","Рішення регуляторних актів виконкому",1,1,100,50.3150962,34.9005644,"no"
"Хмельницький","Рішення регуляторних актів виконкому",0,1,0,49.422983,26.9871331,"yes"
"Бровари","Рішення регуляторних актів виконкому",1,1,100,50.511083,30.7909,"no"
"Жмеринка","Рішення регуляторних актів виконкому",0,1,0,49.0390512,28.1085937,"no"
"Миколаїв","Рішення регуляторних актів виконкому",0.5,1,50,46.975033,31.9945829,"yes"
"Лисичанськ","Рішення регуляторних актів виконкому",1,1,100,48.9066145,38.4433606,"no"
"Слов'янськ","Рішення регуляторних актів виконкому",1,1,100,48.8532,37.6053001,"no"
"Білгород Дністровський","Рішення регуляторних актів виконкому",0.5,1,50,46.1854516,30.3414908,"no"
"Дубно","Рішення регуляторних актів виконкому",1,1,100,50.4009139,25.7590674,"no"
"Мелітополь","Рішення регуляторних актів виконкому",1,1,100,46.8550216,35.3586996,"no"
"Шепетівка","Рішення регуляторних актів виконкому",0,1,0,50.1757487,27.0559924,"no"
"Чернівці","Рішення регуляторних актів виконкому",0,1,0,48.2920787,25.9358367,"yes"
"Херсон","Рішення регуляторних актів виконкому",1,1,100,46.635417,32.616867,"yes"
"Лиман","Рішення регуляторних актів виконкому",1,1,100,48.9897585,37.8049964,"no"
"Лозова","Рішення регуляторних актів виконкому",1,1,100,48.8902362,36.308001,"no"
"Каховка","Рішення регуляторних актів виконкому",0.5,1,50,46.8117208,33.4901963,"no"
"Мукачево","Рішення регуляторних актів виконкому",1,1,100,48.4493055,22.7117106,"no"
"Кременчук","Рішення регуляторних актів виконкому",0,1,0,49.065783,33.410033,"no"
"Южноукраїнськ","Рішення регуляторних актів виконкому",1,1,100,47.8227621,31.1840826,"no"
"Покров","Рішення регуляторних актів виконкому",0,1,0,47.6572805,34.07859,"no"
"Рубіжне","Рішення регуляторних актів виконкому",0,1,0,49.0161213,38.3751403,"no"
"Фастів","Рішення регуляторних актів виконкому",1,1,100,50.0637682,29.9049684,"no"
"Сміла","Рішення регуляторних актів виконкому",1,1,100,49.227717,31.8522329,"no"
"Світловодськ","Рішення регуляторних актів виконкому",1,1,100,49.0496835,33.2284693,"no"
"Нетішин","Рішення регуляторних актів виконкому",1,1,100,50.3339731,26.6500845,"no"
"Подільськ","Рішення регуляторних актів виконкому",1,1,100,47.7585809,29.5339155,"no"
"Горішні Плавні","Рішення регуляторних актів виконкому",0,1,0,49.0156679,33.6450451,"no"
"Ірпінь","Рішення регуляторних актів виконкому",1,1,100,50.51875,30.239783,"no"
"Червоноград","Рішення регуляторних актів виконкому",0,1,0,50.3871767,24.2199454,"no"
"Чорноморськ","Рішення регуляторних актів виконкому",1,1,100,46.2952236,30.6480855,"no"
"Харків","Рішення регуляторних актів виконкому",0,1,0,49.9935,36.230383,"yes"
"Бердичів","Рішення регуляторних актів виконкому",0,1,0,49.9106591,28.5900313,"no"
"Славута","Рішення регуляторних актів виконкому",1,1,100,50.2969058,26.8600648,"no"
"Старокостянтинів","Рішення регуляторних актів виконкому",1,1,100,49.7546828,27.2121595,"no"
"Боярка","Рішення регуляторних актів виконкому",0.5,1,50,50.317117,30.298167,"no"
"Костянтинівка","Рішення регуляторних актів виконкому",0.5,1,50,48.5239429,37.7075811,"no"
"Жовті Води","Рішення регуляторних актів виконкому",0,1,0,48.3441198,33.5244801,"no"
"Ізюм","Рішення регуляторних актів виконкому",1,1,100,49.2121445,37.2665006,"no"
"Мирноград","Рішення регуляторних актів виконкому",0,1,0,48.2962118,37.2700036,"no"
"Самбір","Рішення регуляторних актів виконкому",0,1,0,49.5207147,23.2065501,"no"
"Новоград-Волинський","Рішення регуляторних актів виконкому",0,1,0,50.5860203,27.6363775,"no"
"Конотоп","Рішення регуляторних актів виконкому",0,1,0,51.2409432,33.2050521,"no"
"Павлоград","Рішення регуляторних актів виконкому",0,1,0,48.5294478,35.9032574,"no"
"Шостка","Рішення регуляторних актів виконкому",1,1,100,51.8757044,33.4966152,"no"
"Васильків","Рішення регуляторних актів виконкому",0,1,0,50.1770891,30.3196385,"no"
"Вараш","Рішення регуляторних актів виконкому",0,1,0,51.3436553,25.8490867,"no"
"Марганець","Рішення регуляторних актів виконкому",0,1,0,47.6489237,34.6105197,"no"
"Полтава","Рішення регуляторних актів виконкому",0,1,0,49.588267,34.5514169,"yes"
"Куп'янськ","Рішення регуляторних актів виконкому",0,1,0,49.7055574,37.6027997,"no"
"Нова Каховка","Рішення регуляторних актів виконкому",0,1,0,46.7515251,33.3678207,"no"
"Нововолинськ","Рішення регуляторних актів виконкому",0,1,0,50.7371757,24.1658808,"no"
"Стрий","Рішення регуляторних актів виконкому",0,1,0,49.2656076,23.8431343,"no"
"Вишневе","Рішення регуляторних актів виконкому",0,1,0,50.3919,30.368267,"no"
"Кривий Ріг","Рішення регуляторних актів виконкому",0,1,0,47.910483,33.391783,"yes"
"Черкаси","Рішення регуляторних актів виконкому",0,1,0,49.4421874,32.0664493,"yes"
"Прилуки","Рішення регуляторних актів виконкому",0,1,0,50.5884714,32.3875825,"no"
"Умань","Рішення регуляторних актів виконкому",0,1,0,48.7699292,30.2154406,"no"
"Покровськ","Рішення регуляторних актів виконкому",0,1,0,48.282193,37.1847804,"no"
"Дунаївці","Рішення регуляторних актів виконкому",0,1,0,48.8922474,26.8603864,"no"
"Новомосковськ","Рішення регуляторних актів виконкому",0,1,0,48.6329614,35.2241571,"no"
"Івано-Франківськ","Діючі регуляторні акти на сайті ОМС",1,1,100,48.922633,24.711117,"yes"
"Київ","Діючі регуляторні акти на сайті ОМС",1,1,100,50.4501,30.5234,"yes"
"Вінниця","Діючі регуляторні акти на сайті ОМС",1,1,100,49.233083,28.4682169,"yes"
